GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020,AR5AA1970,AR5AA1980,AR5AA1990,AR5AA2000,AR5AA2010
"G0501030","Arkansas","05","050","Ouachita County","103","1030",30896,30541,30574,28790,26120,22650,9979,11198,11712,11613,11003
"G0501050","Arkansas","05","050","Perry County","105","1050",5634,7266,7969,10209,10445,10019,1854,2564,3055,3989,4170
"G0501070","Arkansas","05","050","Phillips County","107","1070",40046,34772,28838,26445,21757,16568,11497,11434,10183,9711,8491
"G0501090","Arkansas","05","050","Pike County","109","1090",8711,10373,10086,11303,11291,10171,3012,3839,3855,4504,4457
"G0501110","Arkansas","05","050","Poinsett County","111","1110",26822,27032,24664,25614,24583,22965,8307,9465,9368,10026,9754
"G0501130","Arkansas","05","050","Polk County","113","1130",13297,17007,17347,20229,20662,19221,4673,6318,6827,8047,8450
"G0501150","Arkansas","05","050","Pope County","115","1150",28607,39021,45883,54469,61754,63381,9014,13615,16828,20701,23353
"G0501170","Arkansas","05","050","Prairie County","117","1170",10249,10140,9518,9539,8715,8282,3280,3658,3661,3894,3685
"G0501190","Arkansas","05","050","Pulaski County","119","1190",287189,340613,349660,361474,382748,399125,92013,124516,137209,147942,158772
"G0501210","Arkansas","05","050","Randolph County","121","1210",12645,16834,16558,18195,17969,18571,4265,6079,6445,7265,7299
"G0501250","Arkansas","05","050","Saline County","125","1250",36107,53161,64183,83529,107118,123416,10869,17572,23037,31778,41441
"G0501270","Arkansas","05","050","Scott County","127","1270",8207,9685,10205,10996,11233,9836,2778,3534,3957,4323,4368
"G0501290","Arkansas","05","050","Searcy County","129","1290",7731,8847,7841,8261,8195,7828,2573,3257,3117,3523,3574
"G0501310","Arkansas","05","050","Sebastian County","131","1310",79237,95172,99590,115071,125744,127799,26570,35803,39298,45300,49599
"G0501330","Arkansas","05","050","Sevier County","133","1330",11272,14060,13637,15757,17058,15839,3793,5057,5118,5708,5975
"G0501350","Arkansas","05","050","Sharp County","135","1350",8233,14607,14109,17119,17264,17271,2936,5642,5819,7211,7360
"G0501230","Arkansas","05","050","St. Francis County","123","1230",30799,30858,28497,29329,28258,23090,8543,9930,9958,10043,9616
"G0501370","Arkansas","05","050","Stone County","137","1370",6838,9022,9775,11499,12394,12359,2210,3280,3866,4768,5325
"G0501390","Arkansas","05","050","Union County","139","1390",45428,48573,46719,45629,41639,39054,15145,18080,17819,17989,16951
"G0501410","Arkansas","05","050","Van Buren County","141","1410",8275,13357,14008,16192,17295,15796,2857,5018,5698,6825,7433
"G0501430","Arkansas","05","050","Washington County","143","1430",77370,100494,113409,157715,203065,245871,24791,36072,43372,60151,76389
"G0501450","Arkansas","05","050","White County","145","1450",39253,50835,54676,67165,77076,76822,12665,17423,19823,25148,29342
"G0501470","Arkansas","05","050","Woodruff County","147","1470",11566,11222,9520,8741,7260,6269,3717,4014,3630,3531,3134
"G0501490","Arkansas","05","050","Yell County","149","1490",14208,17026,17759,21139,22185,20263,4725,6219,6907,7922,8219
"G0600010","California","06","060","Alameda County","001","0010",1073184,1105379,1279182,1443741,1510271,1682353,365093,426092,479518,523366,545138
"G0600030","California","06","060","Alpine County","003","0030",484,1097,1113,1208,1175,1204,178,386,450,483,497
"G0600050","California","06","060","Amador County","005","0050",11821,19314,30039,35100,38091,40474,4024,7468,10518,12759,14569
"G0600070","California","06","060","Butte County","007","0070",101969,143851,182120,203171,220000,211632,34910,56904,71665,79566,87618
"G0600090","California","06","060","Calaveras County","009","0090",13585,20710,31998,40554,45578,45292,4709,8004,12649,16469,18886
"G0600110","California","06","060","Colusa County","011","0110",12430,12791,16275,18804,21419,21839,4136,4690,5612,6097,7056
"G0600130","California","06","060","Contra Costa County","013","0130",558389,656380,803732,948816,1049025,1165927,172951,241534,300288,344129,375364
"G0600150","California","06","060","Del Norte County","015","0150",14580,18217,23460,27507,28610,27743,4707,6791,7987,9170,9907
"G0600170","California","06","060","El Dorado County","017","0170",43833,85812,125995,156299,181058,191185,15031,32505,46845,58939,70223
"G0600190","California","06","060","Fresno County","019","0190",413053,514621,667490,799407,930450,1008654,126752,178506,220933,252940,289391
"G0600210","California","06","060","Glenn County","021","0210",17521,21350,24798,26453,28122,28917,5723,7707,8821,9172,9800
"G0600230","California","06","060","Humboldt County","023","0230",99692,108514,119118,126518,134623,136463,32383,41565,46420,51238,56031
"G0600250","California","06","060","Imperial County","025","0250",74492,92110,109303,142361,174528,179702,21030,28157,32842,39384,49126
"G0600270","California","06","060","Inyo County","027","0270",15571,17895,18281,17945,18546,19016,5536,7214,7565,7703,8049
"G0600290","California","06","060","Kern County","029","0290",329162,403089,543477,661645,839631,909235,101650,139811,181480,208652,254610
"G0600310","California","06","060","Kings County","031","0310",64610,73738,101469,129461,152982,152486,18293,23499,29082,34418,41233
"G0600330","California","06","060","Lake County","033","0330",19548,36366,50631,58309,64665,68163,7679,15192,20805,23974,26548
"G0600350","California","06","060","Lassen County","035","0350",14960,21661,27598,33828,34895,32730,4994,7400,8543,9625,10058
"G0600370","California","06","060","Los Angeles County","037","0370",7032075,7477503,8863164,9519338,9818605,10014009,2431981,2730469,2989552,3133774,3241204
"G0600390","California","06","060","Madera County","039","0390",41519,63116,88090,123109,150865,156255,12756,20950,28370,36155,43317
"G0600410","California","06","060","Marin County","041","0410",206038,222568,230096,247289,252409,262321,67606,88723,95006,100650,103210
"G0600430","California","06","060","Mariposa County","043","0430",6015,11108,14302,17130,18251,17131,2204,4132,5604,6613,7693
"G0600450","California","06","060","Mendocino County","045","0450",51101,66738,80345,86265,87841,91601,16538,25072,30419,33266,34945
"G0600470","California","06","060","Merced County","047","0470",104629,134560,178403,210554,255793,281202,30464,44539,55331,63815,75642
