GISJOIN,GEOID,STATE,COUNTY,Persons_1970,Persons_1980,Persons_1990,Persons_2000,Persons_2010,Persons_2020,Households_1970,Households_1980,Households_1990,Households_2000,Households_2010,Households_2020
G0500810,US05081,Arkansas,Little River County,11194,13952,13966,13628,13171,12026,3469,4735,5150,5465,5411,5098
G0500830,US05083,Arkansas,Logan County,16789,20144,20557,22486,22353,21131,5596,7059,7628,8693,8704,8449
G0500850,US05085,Arkansas,Lonoke County,26249,34518,39268,52828,68356,74015,8020,11408,13866,19262,25295,27841
G0500870,US05087,Arkansas,Madison County,9453,11373,11618,14243,15717,16521,3132,4094,4392,5463,6174,6437
G0500890,US05089,Arkansas,Marion County,7000,11334,12001,16140,16653,16826,2566,4311,4970,6776,7411,7480
G0500910,US05091,Arkansas,Miller County,33385,37766,38467,40443,43462,42600,10830,13476,14273,15637,17219,17068
G0500930,US05093,Arkansas,Mississippi County,62060,59517,57525,51979,46480,40685,18292,19757,20420,19349,17741,16036
G0500950,US05095,Arkansas,Monroe County,15657,14052,11333,10254,8149,6799,4703,4920,4361,4105,3481,3040
G0500970,US05097,Arkansas,Montgomery County,5821,7771,7841,9245,9487,8484,2056,2922,3062,3785,4000,3651
G0500990,US05099,Arkansas,Nevada County,10111,11097,10101,9955,8997,8310,3415,3980,3798,3893,3697,3427
G0501010,US05101,Arkansas,Newton County,5844,7756,7666,8608,8330,7225,1890,2718,2818,3500,3571,3169
G0501030,US05103,Arkansas,Ouachita County,30896,30541,30574,28790,26120,22650,9979,11198,11712,11613,11003,9944
G0501050,US05105,Arkansas,Perry County,5634,7266,7969,10209,10445,10019,1854,2564,3055,3989,4170,4085
G0501070,US05107,Arkansas,Phillips County,40046,34772,28838,26445,21757,16568,11497,11434,10183,9711,8491,6890
G0501090,US05109,Arkansas,Pike County,8711,10373,10086,11303,11291,10171,3012,3839,3855,4504,4457,4128
G0501110,US05111,Arkansas,Poinsett County,26822,27032,24664,25614,24583,22965,8307,9465,9368,10026,9754,9254
G0501130,US05113,Arkansas,Polk County,13297,17007,17347,20229,20662,19221,4673,6318,6827,8047,8450,7992
G0501150,US05115,Arkansas,Pope County,28607,39021,45883,54469,61754,63381,9014,13615,16828,20701,23353,24196
G0501170,US05117,Arkansas,Prairie County,10249,10140,9518,9539,8715,8282,3280,3658,3661,3894,3685,3502
